Product Name,Link
金城俊哉,https://www.amazon.co.jp/%25E9%2587%2591%25E5%259F%258E%25E4%25BF%258A%25E5%2593%2589/e/B004LTCJ0U?ref=sr_ntt_srch_lnk_8&sr=8-8
53,https://www.amazon.co.jp/Python%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9F%E3%83%B3%E3%82%B0%E3%83%91%E3%83%BC%E3%83%95%E3%82%A7%E3%82%AF%E3%83%88%E3%83%9E%E3%82%B9%E3%82%BF%E3%83%BC%EF%BC%BB%E6%9C%80%E6%96%B0Visual-Studio-Code%E5%AF%BE%E5%BF%9C-Perfect-Master/dp/4798070661#customerReviews
単行本（ソフトカバー）,https://www.amazon.co.jp/Python%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9F%E3%83%B3%E3%82%B0%E3%83%91%E3%83%BC%E3%83%95%E3%82%A7%E3%82%AF%E3%83%88%E3%83%9E%E3%82%B9%E3%82%BF%E3%83%BC%EF%BC%BB%E6%9C%80%E6%96%B0Visual-Studio-Code%E5%AF%BE%E5%BF%9C-Perfect-Master/dp/4798070661
"￥3,520￥3,520",https://www.amazon.co.jp/Python%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9F%E3%83%B3%E3%82%B0%E3%83%91%E3%83%BC%E3%83%95%E3%82%A7%E3%82%AF%E3%83%88%E3%83%9E%E3%82%B9%E3%82%BF%E3%83%BC%EF%BC%BB%E6%9C%80%E6%96%B0Visual-Studio-Code%E5%AF%BE%E5%BF%9C-Perfect-Master/dp/4798070661
(30点の中古品と新品),https://www.amazon.co.jp/gp/offer-listing/4798070661/ref=sr_1_8_olp?keywords=python+%E6%9C%AC&sr=8-8
Kindle版 (電子書籍),https://www.amazon.co.jp/Python%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9F%E3%83%B3%E3%82%B0%E3%83%91%E3%83%BC%E3%83%95%E3%82%A7%E3%82%AF%E3%83%88%E3%83%9E%E3%82%B9%E3%82%BF%E3%83%BC-%E6%9C%80%E6%96%B0Visual-Studio-Code%E5%AF%BE%E5%BF%9C-%E7%AC%AC4%E7%89%88-ebook/dp/B0CLCJ8T2G
wat,https://www.amazon.co.jp/wat/e/B0DB1M3YLQ?ref=sr_ntt_srch_lnk_9&sr=8-9
35,https://www.amazon.co.jp/%E3%81%84%E3%81%8D%E3%81%AA%E3%82%8A%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9F%E3%83%B3%E3%82%B0-Python-wat/dp/4798184861#customerReviews
単行本（ソフトカバー）,https://www.amazon.co.jp/%E3%81%84%E3%81%8D%E3%81%AA%E3%82%8A%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9F%E3%83%B3%E3%82%B0-Python-wat/dp/4798184861
"￥2,420￥2,420",https://www.amazon.co.jp/%E3%81%84%E3%81%8D%E3%81%AA%E3%82%8A%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9F%E3%83%B3%E3%82%B0-Python-wat/dp/4798184861
